Designator,Pin Name,Net,Bus,Type,Part No.,Pin Group,IO Bank,Pin Number,Site
AA16,VCCO_12_1,DVDD1V8,,Passive,1,,,,
AA2,MGTXTXP0_112,NetD16_AA2,,Passive,3,,,,
AA21,GND_99,DGND,,Passive,1,,,,
AA26,VCCO_13_2,DVDD3V3,,Passive,1,,,,
AA3,GND_95,DGND,,Passive,1,,,,
AA4,MGTAVCC_5,DVDD1V,,Passive,1,,,,
AA5,NC_3,NetD16_AA5,,Passive,1,,,,
AA6,NC_4,NetD16_AA6,,Passive,1,,,,
AA7,GND_96,DGND,,Passive,1,,,,
AA8,MGTAVCC_6,DVDD1V,,Passive,1,,,,
AA9,GND_97,DGND,,Passive,1,,,,
AB1,GND_100,DGND,,Passive,1,,,,
AB13,VCCO_12_2,DVDD1V8,,Passive,1,,,,
AB18,GND_103,DGND,,Passive,1,,,,
AB2,MGTAVTT_5,DVDD1V2,,Passive,1,,,,
AB23,VCCO_13_3,DVDD3V3,,Passive,1,,,,
AB3,MGTXRXN0_112,NetD16_AB3,,Passive,3,,,,
AB4,MGTXRXP0_112,NetD16_AB4,,Passive,3,,,,
AB5,GND_101,DGND,,Passive,1,,,,
AB6,MGTAVCC_7,DVDD1V,,Passive,1,,,,
AB7,MGTAVTTRCAL_112,DVDD1V2,,Passive,3,,,,
AB8,MGTRREF_112,NetD16_AB8,,Passive,3,,,,
AB9,GND_102,DGND,,Passive,1,,,,
AC1,NC_5,NetD16_AC1,,Passive,1,,,,
AC10,VCCO_12_3,DVDD1V8,,Passive,1,,,,
AC15,GND_107,DGND,,Passive,1,,,,
AC2,NC_6,NetD16_AC2,,Passive,1,,,,
AC20,VCCO_13_4,DVDD3V3,,Passive,1,,,,
AC25,GND_108,DGND,,Passive,1,,,,
AC3,GND_104,DGND,,Passive,1,,,,
AC4,MGTAVTT_6,DVDD1V2,,Passive,1,,,,
AC5,NC_7,NetD16_AC5,,Passive,1,,,,
AC6,NC_8,NetD16_AC6,,Passive,1,,,,
AC7,GND_105,DGND,,Passive,1,,,,
AC8,MGTAVCC_8,DVDD1V,,Passive,1,,,,
AC9,GND_106,DGND,,Passive,1,,,,
AD1,GND_109,DGND,,Passive,1,,,,
AD12,GND_112,DGND,,Passive,1,,,,
AD17,VCCO_12_4,DVDD1V8,,Passive,1,,,,
AD2,MGTAVTT_7,DVDD1V2,,Passive,1,,,,
AD22,GND_113,DGND,,Passive,1,,,,
AD3,NC_9,NetD16_AD3,,Passive,1,,,,
AD4,NC_10,NetD16_AD4,,Passive,1,,,,
AD5,GND_110,DGND,,Passive,1,,,,
AD6,MGTAVCC_9,DVDD1V,,Passive,1,,,,
AD7,NC_11,NetD16_AD7,,Passive,1,,,,
AD8,NC_12,NetD16_AD8,,Passive,1,,,,
AD9,GND_111,DGND,,Passive,1,,,,
AE1,NC_13,NetD16_AE1,,Passive,1,,,,
AE14,VCCO_12_5,DVDD1V8,,Passive,1,,,,
AE19,GND_117,DGND,,Passive,1,,,,
AE2,NC_14,NetD16_AE2,,Passive,1,,,,
AE24,VCCO_13_5,DVDD3V3,,Passive,1,,,,
AE3,GND_114,DGND,,Passive,1,,,,
AE4,MGTAVTT_8,DVDD1V2,,Passive,1,,,,
AE5,NC_15,NetD16_AE5,,Passive,1,,,,
AE6,NC_16,NetD16_AE6,,Passive,1,,,,
AE7,GND_115,DGND,,Passive,1,,,,
AE8,MGTAVCC_10,DVDD1V,,Passive,1,,,,
AE9,GND_116,DGND,,Passive,1,,,,
AF1,GND_118,DGND,,Passive,1,,,,
AF11,VCCO_12_6,DVDD1V8,,Passive,1,,,,
AF16,GND_121,DGND,,Passive,1,,,,
AF2,MGTAVTT_9,DVDD1V2,,Passive,1,,,,
AF21,VCCO_13_6,DVDD3V3,,Passive,1,,,,
AF26,GND_122,DGND,,Passive,1,,,,
AF3,NC_17,NetD16_AF3,,Passive,1,,,,
AF4,NC_18,NetD16_AF4,,Passive,1,,,,
AF5,GND_119,DGND,,Passive,1,,,,
AF6,MGTAVTT_10,DVDD1V2,,Passive,1,,,,
AF7,NC_19,NetD16_AF7,,Passive,1,,,,
AF8,NC_20,NetD16_AF8,,Passive,1,,,,
AF9,GND_120,DGND,,Passive,1,,,,
B13,VCCO_35_2,DVDD1V8,,Passive,1,,,,
B18,GND_5,DGND,,Passive,1,,,,
B19,PS_MIO47_501,SD_CD#,,Passive,5,,,,
B20,PS_MIO51_501,PS_STATUS_Y,,Passive,5,,,,
B21,PS_MIO48_501,NetD16_B21,,Passive,5,,,,
B22,PS_MIO50_501,PS_STATUS_G,,Passive,5,,,,
B23,VCCO_MIO0_500_2,DVDD3V3,,Passive,1,,,,
B24,PS_CLK_500,PS_CLK,,Passive,4,,,,
B3,VCCO_34_2,DVDD1V8,,Passive,1,,,,
B8,GND_4,DGND,,Passive,1,,,,
C10,VCCO_34_3,DVDD1V8,,Passive,1,,,,
C15,GND_7,DGND,,Passive,1,,,,
C18,PS_MIO45_501,SD_D3,,Passive,5,,,,
C19,PS_MIO41_501,SD_CMD,,Passive,5,,,,
C20,VCCO_MIO1_501_1,DVDD1V8,,Passive,1,,,,
C21,PS_MIO39_501,PS_GPIO_1,,Passive,5,,,,
C22,PS_MIO40_501,NetD16_C22,,Passive,5,,,,
C23,PS_POR_B_500,NetD16_C23,,Passive,4,,,,
C24,PS_MIO15_500,NetD16_C24,,Passive,4,,,,
C25,GND_8,DGND,,Passive,1,,,,
C5,GND_6,DGND,,Passive,1,,,,
D12,GND_10,DGND,,Passive,1,,,,
D17,VCCO_MIO1_501_2,DVDD1V8,,Passive,1,,,,
D18,PS_MIO43_501,SD_D1,,Passive,5,,,,
D19,PS_MIO35_501,PJTAG_TCK,,Passive,5,,,,
D2,GND_9,DGND,,Passive,1,,,,
D20,PS_MIO37_501,PJTAG_TDI_FPGA,,Passive,5,,,,
D21,PS_MIO38_501,PS_GPIO_0,,Passive,5,,,,
D22,GND_11,DGND,,Passive,1,,,,
D7,VCCO_34_4,DVDD1V8,,Passive,1,,,,
E14,VCCO_35_3,DVDD1V8,,Passive,1,,,,
E17,PS_MIO46_501,NetD16_E17,,Passive,5,,,,
E18,PS_MIO44_501,SD_D2,,Passive,5,,,,
E19,GND_13,DGND,,Passive,1,,,,
E20,PS_MIO29_501,NetD16_E20,,Passive,5,,,,
E21,PS_MIO31_501,NetD16_E21,,Passive,5,,,,
E22,PS_MIO33_501,NetD16_E22,,Passive,5,,,,
E24,VCCO_MIO0_500_3,DVDD3V3,,Passive,1,,,,
E4,VCCO_33_1,DVDD1V8,,Passive,1,,,,
E9,GND_12,DGND,,Passive,1,,,,
F1,VCCO_33_2,DVDD1V8,,Passive,1,,,,
F11,VCCO_35_4,DVDD1V8,,Passive,1,,,,
F16,GND_15,DGND,,Passive,1,,,,
F17,PS_MIO42_501,SD_D0,,Passive,5,,,,
F18,PS_MIO27_501,NetD16_F18,,Passive,5,,,,
F19,PS_MIO25_501,NetD16_F19,,Passive,5,,,,
F20,PS_MIO23_501,NetD16_F20,,Passive,5,,,,
F21,VCCO_MIO1_501_3,DVDD1V8,,Passive,1,,,,
F22,PS_MIO21_501,RGMII_TXCTL,,Passive,5,,,,
F26,GND_16,DGND,,Passive,1,,,,
F6,GND_14,DGND,,Passive,1,,,,
G13,GND_18,DGND,,Passive,1,,,,
G17,PS_MIO17_501,RGMII_TX0,,Passive,5,,,,
G18,VCCO_MIO1_501_4,DVDD1V8,,Passive,1,,,,
G19,PS_MIO19_501,RGMII_TX2,,Passive,5,,,,
G20,PS_MIO18_501,RGMII_TX1,,Passive,5,,,,
G21,PS_MIO16_501,RGMII_TXCLK,,Passive,5,,,,
G22,PS_MIO22_501,NetD16_G22,,Passive,5,,,,
G23,GND_19,DGND,,Passive,1,,,,
G3,GND_17,DGND,,Passive,1,,,,
G8,VCCO_34_5,DVDD1V8,,Passive,1,,,,
H10,GND_20,DGND,,Passive,1,,,,
H15,VCCO_35_5,DVDD1V8,,Passive,1,,,,
H17,PS_MIO26_501,NetD16_H17,,Passive,5,,,,
H18,PS_MIO_VREF_501,PS_MIO_VREF,,Passive,5,,,,
H19,PS_MIO20_501,RGMII_TX3,,Passive,5,,,,
H20,GND_21,DGND,,Passive,1,,,,
H25,VCCO_DDR_502_1,DVDD1V35,,Passive,1,,,,
H5,VCCO_33_3,DVDD1V8,,Passive,1,,,,
J12,VCCO_35_6,DVDD1V8,,Passive,1,,,,
J16,PS_MIO34_501,PJTAG_TMS,,Passive,5,,,,
J17,GND_23,DGND,,Passive,1,,,,
J18,PS_MIO28_501,NetD16_J18,,Passive,5,,,,
J19,PS_MIO24_501,NetD16_J19,,Passive,5,,,,
J2,VCCO_33_4,DVDD1V8,,Passive,1,,,,
J22,VCCO_DDR_502_2,DVDD1V35,,Passive,1,,,,
J7,GND_22,DGND,,Passive,1,,,,
K14,GND_25,DGND,,Passive,1,,,,
K16,PS_MIO36_501,PJTAG_TDO_FPGA,,Passive,5,,,,
K17,PS_MIO32_501,NetD16_K17,,Passive,5,,,,
K18,VCCO_MIO1_501_5,DVDD1V8,,Passive,1,,,,
K19,PS_MIO30_501,NetD16_K19,,Passive,5,,,,
K21,PS_DDR_VREF0_502,VrefDDR3,,Passive,6,,,,
K24,GND_26,DGND,,Passive,1,,,,
K4,GND_24,DGND,,Passive,1,,,,
K9,VCCO_34_6,DVDD1V8,,Passive,1,,,,
L1,GND_27,DGND,,Passive,1,,,,
L10,GND_28,DGND,,Passive,1,,,,
L11,VCCINT_1,DVDD1V,,Passive,1,,,,
L12,GND_29,DGND,,Passive,1,,,,
L13,VCCINT_2,DVDD1V,,Passive,1,,,,
L14,GND_30,DGND,,Passive,1,,,,
L15,VCCINT_3,DVDD1V,,Passive,1,,,,
L16,GND_31,DGND,,Passive,1,,,,
L17,VCCPINT_1,DVDD1V,,Passive,1,,,,
L18,GND_32,DGND,,Passive,1,,,,
L19,VCCPAUX_1,DVDD1V8,,Passive,1,,,,
L21,GND_33,DGND,,Passive,1,,,,
L26,VCCO_DDR_502_3,DVDD1V35,,Passive,1,,,,
L6,VCCO_33_5,DVDD1V8,,Passive,1,,,,
M10,VCCAUX_IO_G0_1,DVDD1V8,,Passive,1,,,,
M11,GND_35,DGND,,Passive,1,,,,
M12,VCCINT_4,DVDD1V,,Passive,1,,,,
M13,GNDADC_0,DGND,,Passive,2,,,,
M14,VCCADC_0,AVDD1V8,,Passive,2,,,,
M15,GND_36,DGND,,Passive,1,,,,
M16,VCCBRAM_1,DVDD1V,,Passive,1,,,,
M17,GND_37,DGND,,Passive,1,,,,
M18,VCCPLL,NetD16_M18,,Passive,1,,,,
M19,GND_38,DGND,,Passive,1,,,,
M21,PS_DDR_VREF1_502,VrefDDR3,,Passive,6,,,,
M23,VCCO_DDR_502_4,DVDD1V35,,Passive,1,,,,
M3,VCCO_33_6,DVDD1V8,,Passive,1,,,,
M9,GND_34,DGND,,Passive,1,,,,
N10,GND_40,DGND,,Passive,1,,,,
N11,VCCINT_5,DVDD1V,,Passive,1,,,,
N12,GND_41,DGND,,Passive,1,,,,
N13,VREFN_0,DGND,,Passive,2,,,,
N14,VP_0,XADC_Temp_P,,Passive,2,,,,
N15,VCCINT_6,DVDD1V,,Passive,1,,,,
N16,GND_42,DGND,,Passive,1,,,,
N17,VCCPINT_2,DVDD1V,,Passive,1,,,,
N18,GND_43,DGND,,Passive,1,,,,
N19,VCCPAUX_2,DVDD1V8,,Passive,1,,,,
N20,VCCO_DDR_502_5,DVDD1V35,,Passive,1,,,,
N25,GND_44,DGND,,Passive,1,,,,
N5,GND_39,DGND,,Passive,1,,,,
N9,VCCAUX_1,DVDD1V8,,Passive,1,,,,
P1,GND_45,DGND,,Passive,1,,,,
P10,VCCAUX_IO_G0_2,DVDD1V8,,Passive,1,,,,
P11,GND_53,DGND,,Passive,1,,,,
P12,VCCINT_7,DVDD1V,,Passive,1,,,,
P13,VN_0,DGND,,Passive,2,,,,
P14,VREFP_0,XADC_VREF,,Passive,2,,,,
P15,GND_54,DGND,,Passive,1,,,,
P16,VCCBRAM_2,DVDD1V,,Passive,1,,,,
P17,GND_55,DGND,,Passive,1,,,,
P18,VCCPINT_3,DVDD1V,,Passive,1,,,,
P19,GND_56,DGND,,Passive,1,,,,
P2,GND_46,DGND,,Passive,1,,,,
P22,GND_57,DGND,,Passive,1,,,,
P3,GND_47,DGND,,Passive,1,,,,
P4,GND_48,DGND,,Passive,1,,,,
P5,GND_49,DGND,,Passive,1,,,,
P6,GND_50,DGND,,Passive,1,,,,
P7,GND_51,DGND,,Passive,1,,,,
P8,VCCAUX_2,DVDD1V8,,Passive,1,,,,
P9,GND_52,DGND,,Passive,1,,,,
R1,MGTXTXN3_112,NetD16_R1,,Passive,3,,,,
R10,GND_60,DGND,,Passive,1,,,,
R11,VCCINT_8,DVDD1V,,Passive,1,,,,
R12,GND_61,DGND,,Passive,1,,,,
R13,DXN_0,DGND,,Passive,2,,,,
R14,DXP_0,DGND,,Passive,2,,,,
R15,VCCINT_9,DVDD1V,,Passive,1,,,,
R16,GND_62,DGND,,Passive,1,,,,
R17,VCCPINT_4,DVDD1V,,Passive,1,,,,
R18,GND_63,DGND,,Passive,1,,,,
R19,VCCPAUX_3,DVDD1V8,,Passive,1,,,,
R2,MGTXTXP3_112,NetD16_R2,,Passive,3,,,,
R24,VCCO_DDR_502_6,DVDD1V35,,Passive,1,,,,
R3,GND_58,DGND,,Passive,1,,,,
R4,MGTAVCC_1,DVDD1V,,Passive,1,,,,
R5,MGTREFCLK0N_112,NetD16_R5,,Passive,3,,,,
R6,MGTREFCLK0P_112,NetD16_R6,,Passive,3,,,,
R7,GND_59,DGND,,Passive,1,,,,
R8,INIT_B_0,NetD16_R8,,Passive,2,,,,
R9,VCCAUX_3,DVDD1V8,,Passive,1,,,,
T1,GND_64,DGND,,Passive,1,,,,
T10,VCCAUX_IO_G0_3,DVDD1V8,,Passive,1,,,,
T11,GND_67,DGND,,Passive,1,,,,
T12,VCCINT_10,DVDD1V,,Passive,1,,,,
T13,GND_68,DGND,,Passive,1,,,,
T14,VCCINT_11,DVDD1V,,Passive,1,,,,
T15,GND_69,DGND,,Passive,1,,,,
T16,VCCBRAM_3,DVDD1V,,Passive,1,,,,
T17,GND_70,DGND,,Passive,1,,,,
T18,VCCPINT_5,DVDD1V,,Passive,1,,,,
T19,GND_71,DGND,,Passive,1,,,,
T2,MGTAVTT_1,DVDD1V2,,Passive,1,,,,
T21,VCCO_DDR_502_7,DVDD1V35,,Passive,1,,,,
T26,GND_72,DGND,,Passive,1,,,,
T3,MGTXRXN3_112,NetD16_T3,,Passive,3,,,,
T4,MGTXRXP3_112,NetD16_T4,,Passive,3,,,,
T5,GND_65,DGND,,Passive,1,,,,
T6,MGTAVCC_2,DVDD1V,,Passive,1,,,,
T7,CFGBVS_0,DVDD3V3,,Passive,2,,,,
T8,VCCAUX_4,DVDD1V8,,Passive,1,,,,
T9,GND_66,DGND,,Passive,1,,,,
U1,MGTXTXN2_112,NetD16_U1,,Passive,3,,,,
U10,GND_75,DGND,,Passive,1,,,,
U11,VCCINT_12,DVDD1V,,Passive,1,,,,
U12,GND_76,DGND,,Passive,1,,,,
U13,VCCINT_13,DVDD1V,,Passive,1,,,,
U14,GND_77,DGND,,Passive,1,,,,
U15,VCCINT_14,DVDD1V,,Passive,1,,,,
U16,GND_78,DGND,,Passive,1,,,,
U17,VCCPINT_6,DVDD1V,,Passive,1,,,,
U18,GND_79,DGND,,Passive,1,,,,
U19,VCCPAUX_4,DVDD1V8,,Passive,1,,,,
U2,MGTXTXP2_112,NetD16_U2,,Passive,3,,,,
U23,GND_80,DGND,,Passive,1,,,,
U3,GND_73,DGND,,Passive,1,,,,
U4,MGTAVCC_3,DVDD1V,,Passive,1,,,,
U5,MGTREFCLK1N_112,NetD16_U5,,Passive,3,,,,
U6,MGTREFCLK1P_112,NetD16_U6,,Passive,3,,,,
U7,GND_74,DGND,,Passive,1,,,,
U8,RSVDVCC3,DVDD3V3,,Passive,2,,,,
U9,VCCAUX_5,DVDD1V8,,Passive,1,,,,
V1,GND_81,DGND,,Passive,1,,,,
V10,VCCAUX_6,DVDD1V8,,Passive,1,,,,
V11,TDI_0,TDI_FPGA,,Passive,2,,,,
V12,VCCO_0_1,DVDD3V3,,Passive,1,,,,
V13,RSVDGND,DGND,,Passive,2,,,,
V14,VCCO_0_2,DVDD3V3,,Passive,1,,,,
V15,VCCBATT_0,DVDD1V8,,Passive,1,,,,
V16,VCCBRAM_4,DVDD1V,,Passive,1,,,,
V17,GND_84,DGND,,Passive,1,,,,
V2,MGTAVTT_2,DVDD1V2,,Passive,1,,,,
V20,GND_85,DGND,,Passive,1,,,,
V21,PS_DDR_VRN_502,NetD16_V21,,Passive,6,,,,
V25,VCCO_DDR_502_8,DVDD1V35,,Passive,1,,,,
V3,MGTXRXN2_112,NetD16_V3,,Passive,3,,,,
V4,MGTXRXP2_112,NetD16_V4,,Passive,3,,,,
V5,GND_82,DGND,,Passive,1,,,,
V6,MGTVCCAUX,DVDD1V8,,Passive,1,,,,
V7,GND_83,DGND,,Passive,1,,,,
V8,RSVDVCC2,DVDD3V3,,Passive,2,,,,
V9,PROGRAM_B_0,PROGRAM_B,,Passive,2,,,,
W1,MGTXTXN1_112,NetD16_W1,,Passive,3,,,,
W10,TDO_0,NetD16_W10,,Passive,2,,,,
W11,TMS_0,TMS,,Passive,2,,,,
W12,TCK_0,TCK,,Passive,2,,,,
W2,MGTXTXP1_112,NetD16_W2,,Passive,3,,,,
W21,PS_DDR_VRP_502,NetD16_W21,,Passive,6,,,,
W22,VCCO_DDR_502_9,DVDD1V35,,Passive,1,,,,
W3,GND_86,DGND,,Passive,1,,,,
W4,MGTAVTT_3,DVDD1V2,,Passive,1,,,,
W5,NC_1,NetD16_W5,,Passive,1,,,,
W6,NC_2,NetD16_W6,,Passive,1,,,,
W7,GND_87,DGND,,Passive,1,,,,
W8,RSVDVCC1,DVDD3V3,,Passive,2,,,,
W9,DONE_0,CONFIG_DONE,,Passive,2,,,,
Y1,GND_88,DGND,,Passive,1,,,,
Y14,GND_93,DGND,,Passive,1,,,,
Y19,VCCO_13_1,DVDD3V3,,Passive,1,,,,
Y2,MGTAVTT_4,DVDD1V2,,Passive,1,,,,
Y24,GND_94,DGND,,Passive,1,,,,
Y3,MGTXRXN1_112,NetD16_Y3,,Passive,3,,,,
Y4,MGTXRXP1_112,NetD16_Y4,,Passive,3,,,,
Y5,GND_89,DGND,,Passive,1,,,,
Y6,MGTAVCC_4,DVDD1V,,Passive,1,,,,
Y7,GND_90,DGND,,Passive,1,,,,
Y8,GND_91,DGND,,Passive,1,,,,
Y9,GND_92,DGND,,Passive,1,,,,
